,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
1123,Russia,3862.0,5807.0,2748.0,19826.0,26068.0,45722.0,57061.0,Germany,161094.0
1142,Spain,10329.0,5955.0,5505.0,16000.0,15554.0,18782.0,21681.0,Germany,93806.0
1148,Switzerland,11071.0,7544.0,8659.0,9522.0,9254.0,12723.0,12954.0,Germany,71727.0
1159,Turkey,35827.0,44369.0,30154.0,38833.0,43273.0,42213.0,57009.0,Germany,291678.0
1163,Ukraine,3272.0,4807.0,2288.0,16315.0,20751.0,36753.0,52708.0,Germany,136894.0
1165,United Kingdom,26514.0,23454.0,23984.0,31984.0,33791.0,37101.0,38651.0,Germany,215479.0
1166,United States,29589.0,25054.0,31974.0,39481.0,44135.0,39766.0,40797.0,Germany,250796.0
1570,Algeria,7880.0,11051.0,16493.0,29860.0,51280.0,61530.0,104403.0,France,282497.0
1584,Belgium,8476.0,11113.0,15692.0,20045.0,25961.0,31202.0,38775.0,France,151264.0
1633,Germany,10208.0,12926.0,17692.0,23658.0,31974.0,38461.0,42930.0,France,177849.0
1652,Italy,9932.0,11585.0,14172.0,18192.0,23741.0,28512.0,36672.0,France,142806.0
1664,Lebanon,3304.0,5715.0,9987.0,11375.0,12907.0,15476.0,18561.0,France,77325.0
1686,Morocco,10396.0,16191.0,26263.0,36872.0,52794.0,63314.0,102815.0,France,308645.0
1707,Poland,6888.0,8686.0,11833.0,13871.0,16149.0,19440.0,25025.0,France,101892.0
1708,Portugal,2160.0,3639.0,6356.0,12045.0,21274.0,25573.0,33647.0,France,104694.0
1730,Spain,8156.0,10561.0,14733.0,18596.0,23800.0,28615.0,32994.0,France,137455.0
1746,Tunisia,9356.0,11293.0,14304.0,17630.0,22125.0,26525.0,38721.0,France,139954.0
1753,United Kingdom,6712.0,10578.0,17560.0,23952.0,33157.0,39841.0,62581.0,France,194381.0
1754,United States,4480.0,7194.0,12181.0,14106.0,16059.0,19313.0,20561.0,France,93894.0
1759,Vietnam,5816.0,7045.0,9000.0,11886.0,16049.0,19261.0,21177.0,France,90234.0
1772,Australia,4160.0,10410.0,17116.0,9469.0,42275.0,58354.0,84831.0,United Kingdom,226615.0
1777,Bangladesh,6536.0,5070.0,3675.0,27270.0,15507.0,20243.0,30374.0,United Kingdom,108675.0
1794,Canada,13962.0,13451.0,13376.0,8930.0,24948.0,34503.0,50104.0,United Kingdom,159274.0
1799,China,3424.0,4712.0,6171.0,5681.0,16520.0,22734.0,33106.0,United Kingdom,92348.0
1800,"China, Hong Kong SAR",2268.0,6542.0,11041.0,16079.0,18738.0,25442.0,37330.0,United Kingdom,117440.0
1810,Cyprus,23139.0,14771.0,6702.0,20036.0,11008.0,14749.0,21804.0,United Kingdom,112209.0
1825,France,5656.0,8531.0,11850.0,7817.0,37393.0,52672.0,75710.0,United Kingdom,199629.0
1829,Germany,18018.0,20596.0,23891.0,35758.0,55029.0,76454.0,110741.0,United Kingdom,340487.0
1830,Ghana,2364.0,4935.0,7658.0,7929.0,18038.0,24203.0,35751.0,United Kingdom,100878.0
1842,India,83643.0,68242.0,54262.0,104618.0,125736.0,169173.0,249502.0,United Kingdom,855176.0
1844,Iran,4645.0,7707.0,10949.0,4584.0,18672.0,24692.0,36777.0,United Kingdom,108026.0
1846,Ireland,123757.0,91194.0,60652.0,138287.0,88454.0,124338.0,178929.0,United Kingdom,805611.0
