,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
29,France,3539.0,3680.2,3821.4,3962.6,4103.8,4245.0,4449.8,4654.6,4859.4,5064.2,5269.0,5366.8,5464.6,5562.4,5660.2,5758.0,5868.4,5978.8,6089.2,6199.6,6310.0,6550.4,6790.8,7031.2,7271.6,7512.0,7759.6,8007.2,8254.8,8502.4,8750.0,Australia,41383.0
30,Germany,24879.0,25248.6,25618.2,25987.8,26357.4,26727.0,27478.0,28229.0,28980.0,29731.0,30482.0,30412.2,30342.4,30272.6,30202.8,30133.0,30792.6,31452.2,32111.8,32771.4,33431.0,34162.8,34894.6,35626.4,36358.2,37090.0,37738.6,38387.2,39035.8,39684.4,40333.0,Australia,223075.0
31,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,44.4,88.8,133.2,177.6,222.0,248.8,275.6,302.4,329.2,356.0,381.0,406.0,431.0,456.0,481.0,497.4,513.8,530.2,546.6,563.0,579.6,596.2,612.8,629.4,646.0,Australia,2268.0
32,Greece,51512.0,51128.0,50744.0,50360.0,49976.0,49592.0,49506.2,49420.4,49334.6,49248.8,49163.0,49156.6,49150.2,49143.8,49137.4,49131.0,48410.4,47689.8,46969.2,46248.6,45528.0,45049.6,44571.2,44092.8,43614.4,43136.0,42214.2,41292.4,40370.6,39448.8,38527.0,Australia,326589.0
33,Hungary,8482.0,8474.8,8467.6,8460.4,8453.2,8446.0,8565.6,8685.2,8804.8,8924.4,9044.0,8945.2,8846.4,8747.6,8648.8,8550.0,8566.0,8582.0,8598.0,8614.0,8630.0,8844.2,9058.4,9272.6,9486.8,9701.0,9899.6,10098.2,10296.8,10495.4,10694.0,Australia,63547.0
34,India,10464.0,10952.2,11440.4,11928.6,12416.8,12905.0,13340.6,13776.2,14211.8,14647.4,15083.0,16895.8,18708.6,20521.4,22334.2,24147.0,25268.4,26389.8,27511.2,28632.6,29754.0,31128.0,32502.0,33876.0,35250.0,36624.0,38085.8,39547.6,41009.4,42471.2,43933.0,Australia,172910.0
35,Indonesia,3352.0,3674.4,3996.8,4319.2,4641.6,4964.0,5784.8,6605.6,7426.4,8247.2,9068.0,9558.0,10048.0,10538.0,11028.0,11518.0,11812.2,12106.4,12400.6,12694.8,12989.0,13582.8,14176.6,14770.4,15364.2,15958.0,16588.4,17218.8,17849.2,18479.6,19110.0,Australia,76959.0
36,Iran,944.0,1147.8,1351.6,1555.4,1759.2,1963.0,2311.8,2660.6,3009.4,3358.2,3707.0,3923.2,4139.4,4355.6,4571.8,4788.0,5049.4,5310.8,5572.2,5833.6,6095.0,6321.6,6548.2,6774.8,7001.4,7228.0,7460.4,7692.8,7925.2,8157.6,8390.0,Australia,33115.0
37,Iraq,640.0,736.8,833.6,930.4,1027.2,1124.0,1186.6,1249.2,1311.8,1374.4,1437.0,1842.2,2247.4,2652.6,3057.8,3463.0,4128.6,4794.2,5459.8,6125.4,6791.0,6870.4,6949.8,7029.2,7108.6,7188.0,7234.8,7281.6,7328.4,7375.2,7422.0,Australia,28065.0
38,Ireland,14758.0,14650.4,14542.8,14435.2,14327.6,14220.0,14469.4,14718.8,14968.2,15217.6,15467.0,15946.0,16425.0,16904.0,17383.0,17862.0,17703.2,17544.4,17385.6,17226.8,17068.0,17581.0,18094.0,18607.0,19120.0,19633.0,20134.6,20636.2,21137.8,21639.4,22141.0,Australia,121149.0
39,Israel,1578.0,1631.0,1684.0,1737.0,1790.0,1843.0,1806.2,1769.4,1732.6,1695.8,1659.0,1688.8,1718.6,1748.4,1778.2,1808.0,1837.2,1866.4,1895.6,1924.8,1954.0,2037.4,2120.8,2204.2,2287.6,2371.0,2458.6,2546.2,2633.8,2721.4,2809.0,Australia,14022.0
40,Italy,98658.0,97684.6,96711.2,95737.8,94764.4,93791.0,93763.2,93735.4,93707.6,93679.8,93652.0,93303.8,92955.6,92607.4,92259.2,91911.0,90559.0,89207.0,87855.0,86503.0,85151.0,83919.4,82687.8,81456.2,80224.6,78993.0,76856.8,74720.6,72584.4,70448.2,68312.0,Australia,610468.0
41,Japan,2438.0,2638.0,2838.0,3038.0,3238.0,3438.0,4194.2,4950.4,5706.6,6462.8,7219.0,7417.2,7615.4,7813.6,8011.8,8210.0,8804.4,9398.8,9993.2,10587.6,11182.0,11769.8,12357.6,12945.4,13533.2,14121.0,14758.0,15395.0,16032.0,16669.0,17306.0,Australia,63914.0
42,Jordan,207.0,216.2,225.4,234.6,243.8,253.0,318.2,383.4,448.6,513.8,579.0,620.0,661.0,702.0,743.0,784.0,807.4,830.8,854.2,877.6,901.0,933.0,965.0,997.0,1029.0,1061.0,1093.8,1126.6,1159.4,1192.2,1225.0,Australia,5010.0
43,Kenya,624.0,703.6,783.2,862.8,942.4,1022.0,1071.0,1120.0,1169.0,1218.0,1267.0,1347.0,1427.0,1507.0,1587.0,1667.0,1725.2,1783.4,1841.6,1899.8,1958.0,2056.4,2154.8,2253.2,2351.6,2450.0,2556.0,2662.0,2768.0,2874.0,2980.0,Australia,11968.0
44,Korea,977.0,1239.2,1501.4,1763.6,2025.8,2288.0,2962.6,3637.2,4311.8,4986.4,5661.0,6199.6,6738.2,7276.8,7815.4,8354.0,9245.0,10136.0,11027.0,11918.0,12809.0,13388.0,13967.0,14546.0,15125.0,15704.0,16317.8,16931.6,17545.4,18159.2,18773.0,Australia,64566.0
45,Kuwait,36.0,38.0,40.0,42.0,44.0,46.0,58.4,70.8,83.2,95.6,108.0,147.8,187.6,227.39999999999998,267.2,307.0,345.4,383.8,422.2,460.6,499.0,517.6,536.2,554.8,573.4,592.0,610.8,629.6,648.4,667.2,686.0,Australia,2274.0
