,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
26,Finland,2393.0,2437.4,2481.8,2526.2,2570.6,2615.0,2762.4,2909.8,3057.2,3204.6,3352.0,3251.6,3151.2,3050.8,2950.4,2850.0,2848.4,2846.8,2845.2,2843.6,2842.0,2954.2,3066.4,3178.6,3290.8,3403.0,3525.8,3648.6,3771.4,3894.2,4017.0,Australia,21472.0
27,France,3566.0,3749.2,3932.4,4115.6,4298.8,4482.0,4683.8,4885.6,5087.4,5289.2,5491.0,5583.2,5675.4,5767.6,5859.8,5952.0,6143.0,6334.0,6525.0,6716.0,6907.0,7216.6,7526.2,7835.8,8145.4,8455.0,8794.0,9133.0,9472.0,9811.0,10150.0,Australia,45003.0
28,Germany,36282.0,36709.8,37137.6,37565.4,37993.2,38421.0,38352.6,38284.2,38215.8,38147.4,38079.0,38030.8,37982.6,37934.4,37886.2,37838.0,37260.0,36682.0,36104.0,35526.0,34948.0,36291.6,37635.2,38978.8,40322.4,41666.0,43140.8,44615.6,46090.4,47565.2,49040.0,Australia,276274.0
29,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,46.4,92.8,139.2,185.6,232.0,249.4,266.8,284.2,301.6,319.0,356.4,393.8,431.2,468.6,506.0,528.4,550.8,573.2,595.6,618.0,642.4,666.8,691.2,715.6,740.0,Australia,2415.0
30,Greece,15455.0,15954.4,16453.8,16953.2,17452.6,17952.0,18798.4,19644.8,20491.2,21337.6,22184.0,21502.8,20821.6,20140.4,19459.2,18778.0,18413.8,18049.6,17685.4,17321.2,16957.0,17556.6,18156.2,18755.8,19355.4,19955.0,20613.8,21272.6,21931.4,22590.2,23249.0,Australia,134530.0
31,Hungary,9386.0,9334.4,9282.8,9231.2,9179.6,9128.0,9070.8,9013.6,8956.4,8899.2,8842.0,8739.6,8637.2,8534.8,8432.4,8330.0,8158.4,7986.8,7815.2,7643.6,7472.0,7806.2,8140.4,8474.6,8808.8,9143.0,9509.4,9875.8,10242.2,10608.6,10975.0,Australia,63276.0
32,India,12207.0,12733.0,13259.0,13785.0,14311.0,14837.0,16053.4,17269.8,18486.2,19702.6,20919.0,21750.8,22582.6,23414.4,24246.2,25078.0,26535.6,27993.2,29450.8,30908.4,32366.0,33941.4,35516.8,37092.2,38667.6,40243.0,41968.2,43693.4,45418.6,47143.8,48869.0,Australia,194519.0
33,Indonesia,3523.0,3789.6,4056.2,4322.8,4589.4,4856.0,5592.8,6329.6,7066.4,7803.2,8540.0,8786.0,9032.0,9278.0,9524.0,9770.0,10276.0,10782.0,11288.0,11794.0,12300.0,12955.0,13610.0,14265.0,14920.0,15575.0,16291.8,17008.6,17725.4,18442.2,19159.0,Australia,73723.0
34,Iran,842.0,1031.8,1221.6,1411.4,1601.2,1791.0,2085.2,2379.4,2673.6,2967.8,3262.0,3433.4,3604.8,3776.2,3947.6,4119.0,4358.4,4597.8,4837.2,5076.6,5316.0,5590.2,5864.4,6138.6,6412.8,6687.0,6987.2,7287.4,7587.6,7887.8,8188.0,Australia,30205.0
35,Iraq,557.0,627.6,698.2,768.8,839.4,910.0,990.8,1071.6,1152.4,1233.2,1314.0,1520.2,1726.4,1932.6,2138.8,2345.0,2683.6,3022.2,3360.8,3699.4,4038.0,4226.8,4415.6,4604.4,4793.2,4982.0,5188.8,5395.6,5602.4,5809.2,6016.0,Australia,20162.0
36,Ireland,11995.0,12036.2,12077.4,12118.6,12159.8,12201.0,13214.0,14227.0,15240.0,16253.0,17266.0,17083.4,16900.8,16718.2,16535.6,16353.0,16696.2,17039.4,17382.6,17725.8,18069.0,18828.0,19587.0,20346.0,21105.0,21864.0,22696.0,23528.0,24360.0,25192.0,26024.0,Australia,123772.0
37,Israel,1607.0,1654.0,1701.0,1748.0,1795.0,1842.0,1829.4,1816.8,1804.2,1791.6,1779.0,1768.8,1758.6,1748.4,1738.2,1728.0,1794.4,1860.8,1927.2,1993.6,2060.0,2159.0,2258.0,2357.0,2456.0,2555.0,2663.4,2771.8,2880.2,2988.6,3097.0,Australia,14668.0
38,Italy,36793.0,37663.6,38534.2,39404.8,40275.4,41146.0,41535.8,41925.6,42315.4,42705.2,43095.0,41987.8,40880.6,39773.4,38666.2,37559.0,36547.2,35535.4,34523.6,33511.8,32500.0,33466.6,34433.2,35399.8,36366.4,37333.0,38397.8,39462.6,40527.4,41592.2,42657.0,Australia,271083.0
