,country_from,1980,1985,1990,1995,2000,2005,2010,country_to,total
3528,Afghanistan,368.0,1816.0,3233.0,4323.0,6800.0,12049.0,14194.0,United States,42783.0
3529,Albania,2736.0,3312.0,1627.0,2487.0,5090.0,10691.0,14900.0,United States,40843.0
3530,Algeria,816.0,1070.0,944.0,1358.0,2167.0,2740.0,4089.0,United States,13184.0
3532,Angola,128.0,300.0,452.0,251.0,324.0,472.0,550.0,United States,2477.0
3533,Antigua and Barbuda,768.0,1821.0,2438.0,2798.0,4005.0,4999.0,6590.0,United States,23419.0
3534,Argentina,15776.0,23807.0,24381.0,24342.0,29310.0,47638.0,48388.0,United States,213642.0
3535,Armenia,10981.0,12571.0,9471.0,10400.0,18298.0,31553.0,37464.0,United States,130738.0
3536,Australia,8960.0,12120.0,12255.0,13461.0,16145.0,20216.0,22529.0,United States,105686.0
3537,Austria,38608.0,43233.0,25832.0,20159.0,16747.0,17815.0,15383.0,United States,177777.0
3538,Azerbaijan,5831.0,5462.0,3445.0,2985.0,5298.0,7158.0,9790.0,United States,39969.0
3539,"Bahamas, The",3024.0,4550.0,4226.0,4388.0,5849.0,7164.0,8213.0,United States,37414.0
3541,Bangladesh,1072.0,2612.0,3611.0,7271.0,14433.0,26583.0,31146.0,United States,86728.0
3542,Barbados,5232.0,8920.0,9781.0,9367.0,11215.0,14158.0,15685.0,United States,74358.0
3543,Belarus,4635.0,5976.0,5021.0,7966.0,14108.0,23914.0,28878.0,United States,90498.0
3544,Belgium,10848.0,12877.0,9505.0,8785.0,9048.0,10757.0,9929.0,United States,71749.0
3545,Belize,2448.0,5024.0,6309.0,6521.0,8644.0,13397.0,13010.0,United States,55353.0
3548,Bolivia,2464.0,5005.0,7022.0,7808.0,10087.0,20720.0,21077.0,United States,74183.0
3549,Bosnia and Herzegovina,16337.0,21155.0,14007.0,12433.0,16485.0,26587.0,29540.0,United States,136544.0
3551,Brazil,9200.0,17007.0,21521.0,29081.0,45292.0,80599.0,101013.0,United States,303713.0
3553,Bulgaria,2448.0,3033.0,2353.0,4058.0,6972.0,16702.0,18027.0,United States,53593.0
