,Country Name,variable,value
250,Finland,1983,5.37109375
251,"Gambia, The",1983,0.58467138
252,Ghana,1983,0.77592826
253,Guinea,1983,0.30125162
254,Guyana,1983,2.38048863
255,"Hong Kong SAR, China",1983,
256,Hungary,1983,4.66643333
257,Iceland,1983,7.21218348
258,"Iran, Islamic Rep.",1983,1.7855711
259,Ireland,1983,4.57751989
260,Israel,1983,4.29216099
261,Italy,1983,5.49627781
262,Jamaica,1983,3.18738079
263,Japan,1983,5.75151682
264,Kenya,1983,1.32658839
265,Kyrgyz Republic,1983,2.13439822
266,Latvia,1983,2.76619649
267,Lesotho,1983,2.94303799
268,Lithuania,1983,4.16442347
269,"Macao SAR, China",1983,
270,Madagascar,1983,2.1105423
271,Malaysia,1983,1.17325473
272,Mali,1983,1.28954971
273,Malta,1983,4.73784733
274,Mauritius,1983,1.55006421
275,Mexico,1983,2.01177883
276,Nepal,1983,0.55427396
277,Netherlands,1983,5.320714
278,New Zealand,1983,5.56446981
279,Niger,1983,1.53187096
280,Norway,1983,6.29948092
281,Oman,1983,2.50450325
282,Pakistan,1983,1.01343811
283,Panama,1983,4.6724925
284,Peru,1983,2.31222916
285,Poland,1983,3.61403513
286,Portugal,1983,5.90206194
287,Saudi Arabia,1983,3.03455424
288,Senegal,1983,1.26322365
289,Slovak Republic,1983,4.68998718
290,Slovenia,1983,5.57140017
291,South Africa,1983,2.73613644
292,Spain,1983,4.91906023
293,Sri Lanka,1983,2.27740288
294,St. Lucia,1983,1.8697567
295,Eswatini,1983,2.41081047
296,Sweden,1983,6.18943739
297,Switzerland,1983,2.67802835
298,Thailand,1983,1.71152949
299,Togo,1983,0.39248648
300,Tunisia,1983,2.65892363
301,United Kingdom,1983,5.59644794
302,Uruguay,1983,4.15722036
303,Zambia,1983,3.18158054
304,Argentina,1984,4.63411379
305,Armenia,1984,0.95468217
306,Australia,1984,5.46949816
307,Austria,1984,6.82578659
308,Azerbaijan,1984,0.86689276
309,Bangladesh,1984,0.57436872
310,Belgium,1984,5.96185923
311,Benin,1984,0.80706608
312,Brazil,1984,3.47024679
313,Bulgaria,1984,3.4715004
314,Burundi,1984,1.46507251
315,Cameroon,1984,0.67430598
316,Canada,1984,6.02896738
317,Chile,1984,2.51822186
318,Colombia,1984,4.20017815
319,Costa Rica,1984,4.28046608
320,Cote d'Ivoire,1984,0.8112601
321,Cyprus,1984,2.18027353
322,Czech Republic,1984,5.07170343
323,Denmark,1984,6.73533964
324,Estonia,1984,3.92247367
325,Ethiopia,1984,1.79956126
326,Finland,1984,5.37109375
327,"Gambia, The",1984,0.58467138
328,Ghana,1984,0.77592826
329,Guinea,1984,0.30125162
330,Guyana,1984,2.38048863
331,"Hong Kong SAR, China",1984,
332,Hungary,1984,4.66643333
333,Iceland,1984,7.21218348
334,"Iran, Islamic Rep.",1984,1.7855711
335,Ireland,1984,4.57751989
336,Israel,1984,4.29216099
337,Italy,1984,5.49627781
338,Jamaica,1984,3.18738079
339,Japan,1984,5.75151682
340,Kenya,1984,1.32658839
341,Kyrgyz Republic,1984,2.13439822
342,Latvia,1984,2.76619649
343,Lesotho,1984,2.94303799
344,Lithuania,1984,4.16442347
345,"Macao SAR, China",1984,
346,Madagascar,1984,2.1105423
347,Malaysia,1984,1.17325473
348,Mali,1984,1.28954971
349,Malta,1984,4.73784733
350,Mauritius,1984,1.55006421
351,Mexico,1984,2.01177883
352,Nepal,1984,0.55427396
353,Netherlands,1984,5.320714
354,New Zealand,1984,5.56446981
355,Niger,1984,1.53187096
356,Norway,1984,6.29948092
357,Oman,1984,2.50450325
358,Pakistan,1984,1.01343811
359,Panama,1984,4.6724925
360,Peru,1984,2.31222916
361,Poland,1984,3.61403513
362,Portugal,1984,5.90206194
363,Saudi Arabia,1984,3.03455424
364,Senegal,1984,1.26322365
365,Slovak Republic,1984,4.68998718
366,Slovenia,1984,5.57140017
367,South Africa,1984,2.73613644
368,Spain,1984,4.91906023
369,Sri Lanka,1984,2.27740288
370,St. Lucia,1984,1.8697567
371,Eswatini,1984,2.41081047
372,Sweden,1984,6.18943739
373,Switzerland,1984,2.67802835
374,Thailand,1984,1.71152949
375,Togo,1984,0.39248648
376,Tunisia,1984,2.65892363
377,United Kingdom,1984,5.59644794
378,Uruguay,1984,4.15722036
379,Zambia,1984,3.18158054
380,Argentina,1985,4.63411379
381,Armenia,1985,0.95468217
382,Australia,1985,5.46949816
383,Austria,1985,6.82578659
384,Azerbaijan,1985,0.86689276
385,Bangladesh,1985,0.57436872
386,Belgium,1985,5.96185923
387,Benin,1985,0.80706608
388,Brazil,1985,3.47024679
389,Bulgaria,1985,3.4715004
390,Burundi,1985,1.46507251
391,Cameroon,1985,0.67430598
392,Canada,1985,6.02896738
393,Chile,1985,2.51822186
394,Colombia,1985,4.20017815
395,Costa Rica,1985,4.28046608
396,Cote d'Ivoire,1985,0.8112601
397,Cyprus,1985,2.18027353
398,Czech Republic,1985,5.07170343
399,Denmark,1985,6.73533964
400,Estonia,1985,3.92247367
401,Ethiopia,1985,1.79956126
402,Finland,1985,5.37109375
403,"Gambia, The",1985,0.58467138
404,Ghana,1985,0.77592826
405,Guinea,1985,0.30125162
406,Guyana,1985,2.38048863
407,"Hong Kong SAR, China",1985,
408,Hungary,1985,4.66643333
409,Iceland,1985,7.21218348
410,"Iran, Islamic Rep.",1985,1.7855711
411,Ireland,1985,4.57751989
412,Israel,1985,4.29216099
413,Italy,1985,5.49627781
414,Jamaica,1985,3.18738079
415,Japan,1985,5.75151682
416,Kenya,1985,1.32658839
417,Kyrgyz Republic,1985,2.13439822
418,Latvia,1985,2.76619649
419,Lesotho,1985,2.94303799
420,Lithuania,1985,4.16442347
421,"Macao SAR, China",1985,
422,Madagascar,1985,2.1105423
423,Malaysia,1985,1.17325473
424,Mali,1985,1.28954971
425,Malta,1985,4.73784733
426,Mauritius,1985,1.55006421
427,Mexico,1985,2.01177883
428,Nepal,1985,0.55427396
429,Netherlands,1985,5.320714
430,New Zealand,1985,5.56446981
431,Niger,1985,1.53187096
432,Norway,1985,6.29948092
433,Oman,1985,2.50450325
434,Pakistan,1985,1.01343811
435,Panama,1985,4.6724925
436,Peru,1985,2.31222916
437,Poland,1985,3.61403513
438,Portugal,1985,5.90206194
439,Saudi Arabia,1985,3.03455424
440,Senegal,1985,1.26322365
441,Slovak Republic,1985,4.68998718
442,Slovenia,1985,5.57140017
443,South Africa,1985,2.73613644
444,Spain,1985,4.91906023
445,Sri Lanka,1985,2.27740288
446,St. Lucia,1985,1.8697567
447,Eswatini,1985,2.41081047
448,Sweden,1985,6.18943739
449,Switzerland,1985,2.67802835
450,Thailand,1985,1.71152949
451,Togo,1985,0.39248648
452,Tunisia,1985,2.65892363
453,United Kingdom,1985,5.59644794
454,Uruguay,1985,4.15722036
455,Zambia,1985,3.18158054
456,Argentina,1986,4.63411379
457,Armenia,1986,0.95468217
458,Australia,1986,5.46949816
459,Austria,1986,6.82578659
460,Azerbaijan,1986,0.86689276
461,Bangladesh,1986,0.57436872
462,Belgium,1986,5.96185923
463,Benin,1986,0.80706608
464,Brazil,1986,3.47024679
465,Bulgaria,1986,3.4715004
466,Burundi,1986,1.46507251
467,Cameroon,1986,0.67430598
468,Canada,1986,6.02896738
469,Chile,1986,2.51822186
470,Colombia,1986,4.20017815
471,Costa Rica,1986,4.28046608
472,Cote d'Ivoire,1986,0.8112601
473,Cyprus,1986,2.18027353
474,Czech Republic,1986,5.07170343
475,Denmark,1986,6.73533964
476,Estonia,1986,3.92247367
477,Ethiopia,1986,1.79956126
478,Finland,1986,5.37109375
479,"Gambia, The",1986,0.58467138
480,Ghana,1986,0.77592826
481,Guinea,1986,0.30125162
482,Guyana,1986,2.38048863
483,"Hong Kong SAR, China",1986,
484,Hungary,1986,4.66643333
485,Iceland,1986,7.21218348
486,"Iran, Islamic Rep.",1986,1.7855711
487,Ireland,1986,4.57751989
488,Israel,1986,4.29216099
489,Italy,1986,5.49627781
490,Jamaica,1986,3.18738079
491,Japan,1986,5.75151682
492,Kenya,1986,1.32658839
493,Kyrgyz Republic,1986,2.13439822
494,Latvia,1986,2.76619649
495,Lesotho,1986,2.94303799
496,Lithuania,1986,4.16442347
497,"Macao SAR, China",1986,
498,Madagascar,1986,2.1105423
499,Malaysia,1986,1.17325473
500,Mali,1986,1.28954971
501,Malta,1986,4.73784733
502,Mauritius,1986,1.55006421
503,Mexico,1986,2.01177883
504,Nepal,1986,0.55427396
505,Netherlands,1986,5.320714
506,New Zealand,1986,5.56446981
507,Niger,1986,1.53187096
508,Norway,1986,6.29948092
509,Oman,1986,2.50450325
510,Pakistan,1986,1.01343811
511,Panama,1986,4.6724925
512,Peru,1986,2.31222916
513,Poland,1986,3.61403513
514,Portugal,1986,5.90206194
515,Saudi Arabia,1986,3.03455424
516,Senegal,1986,1.26322365
517,Slovak Republic,1986,4.68998718
518,Slovenia,1986,5.57140017
519,South Africa,1986,2.73613644
520,Spain,1986,4.91906023
521,Sri Lanka,1986,2.27740288
522,St. Lucia,1986,1.8697567
523,Eswatini,1986,2.41081047
524,Sweden,1986,6.18943739
525,Switzerland,1986,2.67802835
526,Thailand,1986,1.71152949
527,Togo,1986,0.39248648
528,Tunisia,1986,2.65892363
529,United Kingdom,1986,5.59644794
530,Uruguay,1986,4.15722036
531,Zambia,1986,3.18158054
532,Argentina,1987,4.63411379
533,Armenia,1987,0.95468217
534,Australia,1987,5.46949816
535,Austria,1987,6.82578659
536,Azerbaijan,1987,0.86689276
537,Bangladesh,1987,0.57436872
538,Belgium,1987,5.96185923
539,Benin,1987,0.80706608
540,Brazil,1987,3.47024679
541,Bulgaria,1987,3.4715004
542,Burundi,1987,1.46507251
543,Cameroon,1987,0.67430598
544,Canada,1987,6.02896738
545,Chile,1987,2.51822186
546,Colombia,1987,4.20017815
547,Costa Rica,1987,4.28046608
548,Cote d'Ivoire,1987,0.8112601
549,Cyprus,1987,2.18027353
550,Czech Republic,1987,5.07170343
551,Denmark,1987,6.73533964
552,Estonia,1987,3.92247367
553,Ethiopia,1987,1.79956126
554,Finland,1987,5.37109375
555,"Gambia, The",1987,0.58467138
556,Ghana,1987,0.77592826
557,Guinea,1987,0.30125162
558,Guyana,1987,2.38048863
559,"Hong Kong SAR, China",1987,
560,Hungary,1987,4.66643333
561,Iceland,1987,7.21218348
562,"Iran, Islamic Rep.",1987,1.7855711
563,Ireland,1987,4.57751989
564,Israel,1987,4.29216099
565,Italy,1987,5.49627781
566,Jamaica,1987,3.18738079
567,Japan,1987,5.75151682
568,Kenya,1987,1.32658839
569,Kyrgyz Republic,1987,2.13439822
570,Latvia,1987,2.76619649
571,Lesotho,1987,2.94303799
572,Lithuania,1987,4.16442347
573,"Macao SAR, China",1987,
574,Madagascar,1987,2.1105423
575,Malaysia,1987,1.17325473
576,Mali,1987,1.28954971
577,Malta,1987,4.73784733
578,Mauritius,1987,1.55006421
579,Mexico,1987,2.01177883
580,Nepal,1987,0.55427396
581,Netherlands,1987,5.320714
582,New Zealand,1987,5.56446981
583,Niger,1987,1.53187096
584,Norway,1987,6.29948092
585,Oman,1987,2.50450325
586,Pakistan,1987,1.01343811
587,Panama,1987,4.6724925
588,Peru,1987,2.31222916
589,Poland,1987,3.61403513
590,Portugal,1987,5.90206194
591,Saudi Arabia,1987,3.03455424
592,Senegal,1987,1.26322365
593,Slovak Republic,1987,4.68998718
594,Slovenia,1987,5.57140017
595,South Africa,1987,2.73613644
596,Spain,1987,4.91906023
597,Sri Lanka,1987,2.27740288
598,St. Lucia,1987,1.8697567
599,Eswatini,1987,2.41081047
600,Sweden,1987,6.18943739
601,Switzerland,1987,2.67802835
602,Thailand,1987,1.71152949
603,Togo,1987,0.39248648
604,Tunisia,1987,2.65892363
605,United Kingdom,1987,5.59644794
606,Uruguay,1987,4.15722036
607,Zambia,1987,3.18158054
608,Argentina,1988,4.63411379
609,Armenia,1988,0.95468217
610,Australia,1988,5.46949816
611,Austria,1988,6.82578659
612,Azerbaijan,1988,0.86689276
613,Bangladesh,1988,0.57436872
614,Belgium,1988,5.96185923
615,Benin,1988,0.80706608
616,Brazil,1988,3.47024679
617,Bulgaria,1988,3.4715004
618,Burundi,1988,1.46507251
619,Cameroon,1988,0.67430598
620,Canada,1988,6.02896738
621,Chile,1988,2.51822186
622,Colombia,1988,4.20017815
623,Costa Rica,1988,4.28046608
624,Cote d'Ivoire,1988,0.8112601
625,Cyprus,1988,2.18027353
626,Czech Republic,1988,5.07170343
627,Denmark,1988,6.73533964
628,Estonia,1988,3.92247367
629,Ethiopia,1988,1.79956126
630,Finland,1988,5.37109375
631,"Gambia, The",1988,0.58467138
632,Ghana,1988,0.77592826
633,Guinea,1988,0.30125162
634,Guyana,1988,2.38048863
635,"Hong Kong SAR, China",1988,
636,Hungary,1988,4.66643333
637,Iceland,1988,7.21218348
638,"Iran, Islamic Rep.",1988,1.7855711
639,Ireland,1988,4.57751989
640,Israel,1988,4.29216099
641,Italy,1988,5.49627781
642,Jamaica,1988,3.18738079
643,Japan,1988,5.75151682
644,Kenya,1988,1.32658839
645,Kyrgyz Republic,1988,2.13439822
646,Latvia,1988,2.76619649
647,Lesotho,1988,2.94303799
648,Lithuania,1988,4.16442347
649,"Macao SAR, China",1988,
650,Madagascar,1988,2.1105423
651,Malaysia,1988,1.17325473
652,Mali,1988,1.28954971
653,Malta,1988,4.73784733
654,Mauritius,1988,1.55006421
655,Mexico,1988,2.01177883
656,Nepal,1988,0.55427396
657,Netherlands,1988,5.320714
658,New Zealand,1988,5.56446981
659,Niger,1988,1.53187096
660,Norway,1988,6.29948092
661,Oman,1988,2.50450325
662,Pakistan,1988,1.01343811
663,Panama,1988,4.6724925
664,Peru,1988,2.31222916
665,Poland,1988,3.61403513
666,Portugal,1988,5.90206194
667,Saudi Arabia,1988,3.03455424
668,Senegal,1988,1.26322365
669,Slovak Republic,1988,4.68998718
670,Slovenia,1988,5.57140017
671,South Africa,1988,2.73613644
672,Spain,1988,4.91906023
673,Sri Lanka,1988,2.27740288
674,St. Lucia,1988,1.8697567
675,Eswatini,1988,2.41081047
676,Sweden,1988,6.18943739
677,Switzerland,1988,2.67802835
678,Thailand,1988,1.71152949
679,Togo,1988,0.39248648
680,Tunisia,1988,2.65892363
681,United Kingdom,1988,5.59644794
682,Uruguay,1988,4.15722036
683,Zambia,1988,3.18158054
684,Argentina,1989,4.63411379
685,Armenia,1989,0.95468217
686,Australia,1989,5.46949816
687,Austria,1989,6.82578659
688,Azerbaijan,1989,0.86689276
689,Bangladesh,1989,0.57436872
690,Belgium,1989,5.96185923
691,Benin,1989,0.80706608
692,Brazil,1989,3.47024679
693,Bulgaria,1989,3.4715004
694,Burundi,1989,1.46507251
695,Cameroon,1989,0.67430598
696,Canada,1989,6.02896738
697,Chile,1989,2.51822186
698,Colombia,1989,4.20017815
699,Costa Rica,1989,4.28046608
700,Cote d'Ivoire,1989,0.8112601
701,Cyprus,1989,2.18027353
702,Czech Republic,1989,5.07170343
703,Denmark,1989,6.73533964
704,Estonia,1989,3.92247367
705,Ethiopia,1989,1.79956126
706,Finland,1989,5.37109375
707,"Gambia, The",1989,0.58467138
708,Ghana,1989,0.77592826
709,Guinea,1989,0.30125162
710,Guyana,1989,2.38048863
711,"Hong Kong SAR, China",1989,
712,Hungary,1989,4.66643333
713,Iceland,1989,7.21218348
714,"Iran, Islamic Rep.",1989,1.7855711
715,Ireland,1989,4.57751989
716,Israel,1989,4.29216099
717,Italy,1989,5.49627781
718,Jamaica,1989,3.18738079
719,Japan,1989,5.75151682
720,Kenya,1989,1.32658839
721,Kyrgyz Republic,1989,2.13439822
722,Latvia,1989,2.76619649
723,Lesotho,1989,2.94303799
724,Lithuania,1989,4.16442347
725,"Macao SAR, China",1989,
726,Madagascar,1989,2.1105423
727,Malaysia,1989,1.17325473
728,Mali,1989,1.28954971
729,Malta,1989,4.73784733
730,Mauritius,1989,1.55006421
731,Mexico,1989,2.01177883
732,Nepal,1989,0.55427396
733,Netherlands,1989,5.320714
734,New Zealand,1989,5.56446981
735,Niger,1989,1.53187096
736,Norway,1989,6.29948092
737,Oman,1989,2.50450325
738,Pakistan,1989,1.01343811
739,Panama,1989,4.6724925
740,Peru,1989,2.31222916
741,Poland,1989,3.61403513
742,Portugal,1989,5.90206194
743,Saudi Arabia,1989,3.03455424
744,Senegal,1989,1.26322365
745,Slovak Republic,1989,4.68998718
746,Slovenia,1989,5.57140017
747,South Africa,1989,2.73613644
748,Spain,1989,4.91906023
749,Sri Lanka,1989,2.27740288
750,St. Lucia,1989,1.8697567
751,Eswatini,1989,2.41081047
752,Sweden,1989,6.18943739
753,Switzerland,1989,2.67802835
754,Thailand,1989,1.71152949
755,Togo,1989,0.39248648
756,Tunisia,1989,2.65892363
757,United Kingdom,1989,5.59644794
758,Uruguay,1989,4.15722036
759,Zambia,1989,3.18158054
760,Argentina,1990,4.63411379
761,Armenia,1990,0.95468217
762,Australia,1990,5.46949816
763,Austria,1990,6.82578659
764,Azerbaijan,1990,0.86689276
765,Bangladesh,1990,0.57436872
766,Belgium,1990,5.96185923
767,Benin,1990,0.80706608
768,Brazil,1990,3.47024679
769,Bulgaria,1990,3.4715004
770,Burundi,1990,1.46507251
771,Cameroon,1990,0.67430598
772,Canada,1990,6.02896738
773,Chile,1990,2.51822186
774,Colombia,1990,4.20017815
775,Costa Rica,1990,4.28046608
776,Cote d'Ivoire,1990,0.8112601
777,Cyprus,1990,2.18027353
778,Czech Republic,1990,5.07170343
779,Denmark,1990,6.73533964
780,Estonia,1990,3.92247367
781,Ethiopia,1990,1.79956126
782,Finland,1990,5.37109375
783,"Gambia, The",1990,0.58467138
784,Ghana,1990,0.77592826
785,Guinea,1990,0.30125162
786,Guyana,1990,2.38048863
787,"Hong Kong SAR, China",1990,
788,Hungary,1990,4.66643333
789,Iceland,1990,7.21218348
790,"Iran, Islamic Rep.",1990,1.7855711
791,Ireland,1990,4.57751989
792,Israel,1990,4.29216099
793,Italy,1990,5.49627781
794,Jamaica,1990,3.18738079
795,Japan,1990,5.75151682
796,Kenya,1990,1.32658839
797,Kyrgyz Republic,1990,2.13439822
798,Latvia,1990,2.76619649
799,Lesotho,1990,2.94303799
800,Lithuania,1990,4.16442347
801,"Macao SAR, China",1990,
802,Madagascar,1990,2.1105423
803,Malaysia,1990,1.17325473
804,Mali,1990,1.28954971
805,Malta,1990,4.73784733
806,Mauritius,1990,1.55006421
