,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to
33,France,,,,,,1258.0,1320.8,1383.6,1446.4,1509.2,1572.0,1411.4,1250.8,1090.2,929.6,769.0,865.6,962.2,1058.8,1155.4,1252.0,1370.4,1488.8,1607.2,1725.6,1844.0,1884.6,1925.2,1965.8,2006.4,2047.0,Australia
34,Germany,,,,,,3400.0,3281.8,3163.6,3045.4,2927.2,2809.0,2489.4,2169.8,1850.1999999999998,1530.6,1211.0,1184.2,1157.4,1130.6,1103.8,1077.0,2344.2,3611.4,4878.6,6145.8,7413.0,7577.4,7741.8,7906.2,8070.6,8235.0,Australia
35,Ghana,,,,,,0.0,114.6,229.2,343.79999999999995,458.4,573.0,490.6,408.2,325.79999999999995,243.39999999999998,161.0,178.0,195.0,212.0,229.0,246.0,229.6,213.2,196.8,180.4,164.0,167.8,171.6,175.4,179.2,183.0,Australia
36,Greece,,,,,,3503.0,3569.8,3636.6,3703.4,3770.2,3837.0,3069.6,2302.2,1534.8000000000002,767.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,678.6,1357.2,2035.8000000000002,2714.4,3393.0,3471.0,3549.0,3627.0,3705.0,3783.0,Australia
37,Hungary,,,,,,0.0,71.6,143.2,214.79999999999998,286.4,358.0,286.4,214.8,143.20000000000002,71.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,418.8,837.6,1256.4,1675.2,2094.0,2141.0,2188.0,2235.0,2282.0,2329.0,Australia
38,India,,,,,,4605.0,4354.2,4103.4,3852.6,3601.8,3351.0,5979.2,8607.4,11235.599999999999,13863.8,16492.0,15648.2,14804.4,13960.6,13116.8,12273.0,11895.8,11518.6,11141.4,10764.2,10387.0,10621.0,10855.0,11089.0,11323.0,11557.0,Australia
39,Indonesia,,,,,,2165.0,2975.0,3785.0,4595.0,5405.0,6215.0,5377.6,4540.2,3702.8,2865.4,2028.0,2331.2,2634.4,2937.6,3240.8,3544.0,3674.0,3804.0,3934.0,4064.0,4194.0,4285.6,4377.2,4468.8,4560.4,4652.0,Australia
40,Iran,,,,,,1948.0,2203.6,2459.2,2714.8,2970.4,3226.0,2944.0,2662.0,2380.0,2098.0,1816.0,1782.8,1749.6,1716.4,1683.2,1650.0,1697.2,1744.4,1791.6,1838.8,1886.0,1929.0,1972.0,2015.0,2058.0,2101.0,Australia
41,Iraq,,,,,,635.0,608.2,581.4,554.6,527.8,501.0,976.6,1452.2,1927.8000000000002,2403.4,2879.0,2924.6,2970.2,3015.8,3061.4,3107.0,2766.6,2426.2,2085.8,1745.4,1405.0,1438.2,1471.4,1504.6,1537.8,1571.0,Australia
42,Ireland,,,,,,1134.0,1889.6,2645.2,3400.8,4156.4,4912.0,4376.2,3840.4,3304.6000000000004,2768.8,2233.0,2628.8,3024.6,3420.4,3816.2,4212.0,4253.6,4295.2,4336.8,4378.4,4420.0,4517.6,4615.2,4712.8,4810.4,4908.0,Australia
43,Israel,,,,,,467.0,387.4,307.8,228.20000000000002,148.60000000000002,69.0,71.8,74.6,77.4,80.2,83.0,157.6,232.2,306.79999999999995,381.4,456.0,499.0,542.0,585.0,628.0,671.0,686.4,701.8,717.2,732.6,748.0,Australia
44,Italy,,,,,,5227.0,5065.4,4903.8,4742.2,4580.6,4419.0,3535.2,2651.4,1767.6000000000004,883.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,975.0,1950.0,2925.0,3900.0,4875.0,4990.0,5105.0,5220.0,5335.0,5450.0,Australia
