,country_from,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,country_to,total
34,Germany,29943.0,30623.0,31303.0,31983.0,32663.0,33343.0,33904.8,34466.6,35028.4,35590.2,36152.0,36394.2,36636.4,36878.6,37120.8,37363.0,37578.4,37793.8,38009.2,38224.6,38440.0,39922.6,41405.2,42887.8,44370.4,45853.0,47500.0,49147.0,50794.0,52441.0,54088.0,Australia,275182.0
35,Ghana,0.0,0.0,0.0,0.0,0.0,0.0,114.6,229.2,343.79999999999995,458.4,573.0,605.2,637.4,669.6,701.8,734.0,783.2,832.4,881.6,930.8,980.0,1012.8,1045.6,1078.4,1111.2,1144.0,1180.6,1217.2,1253.8,1290.4,1327.0,Australia,4758.0
36,Greece,17611.0,18311.6,19012.2,19712.8,20413.4,21114.0,21881.4,22648.8,23416.2,24183.6,24951.0,24935.0,24919.0,24903.0,24887.0,24871.0,23686.2,22501.4,21316.6,20131.8,18947.0,19625.6,20304.2,20982.8,21661.4,22340.0,23096.6,23853.2,24609.8,25366.4,26123.0,Australia,155957.0
37,Hungary,13180.0,13143.8,13107.6,13071.4,13035.2,12999.0,13070.6,13142.2,13213.8,13285.4,13357.0,13070.4,12783.8,12497.2,12210.6,11924.0,11765.8,11607.6,11449.4,11291.2,11133.0,11551.8,11970.6,12389.4,12808.2,13227.0,13692.8,14158.6,14624.4,15090.2,15556.0,Australia,91376.0
38,India,18793.0,19714.0,20635.0,21556.0,22477.0,23398.0,24068.2,24738.4,25408.6,26078.8,26749.0,30047.4,33345.8,36644.2,39942.6,43241.0,45695.6,48150.2,50604.8,53059.4,55514.0,57591.4,59668.8,61746.2,63823.6,65901.0,68212.4,70523.8,72835.2,75146.6,77458.0,Australia,311054.0
39,Indonesia,7093.0,7526.0,7959.0,8392.0,8825.0,9258.0,10501.0,11744.0,12987.0,14230.0,15473.0,15878.6,16284.2,16689.8,17095.4,17501.0,18209.8,18918.6,19627.4,20336.2,21045.0,21883.8,22722.6,23561.4,24400.2,25239.0,26169.4,27099.8,28030.2,28960.6,29891.0,Australia,125500.0
40,Iran,1567.0,1956.6,2346.2,2735.8,3125.4,3515.0,4160.2,4805.4,5450.6,6095.8,6741.0,7104.2,7467.4,7830.6,8193.8,8557.0,8887.0,9217.0,9547.0,9877.0,10207.0,10584.2,10961.4,11338.6,11715.8,12093.0,12513.2,12933.4,13353.6,13773.8,14194.0,Australia,56874.0
41,Iraq,1207.0,1334.0,1461.0,1588.0,1715.0,1842.0,1942.2,2042.4,2142.6,2242.8,2343.0,2918.8,3494.6,4070.3999999999996,4646.2,5222.0,5843.4,6464.8,7086.2,7707.6,8329.0,8610.0,8891.0,9172.0,9453.0,9734.0,10048.2,10362.4,10676.6,10990.8,11305.0,Australia,39982.0
42,Ireland,10310.0,10536.8,10763.6,10990.4,11217.2,11444.0,12426.4,13408.8,14391.2,15373.6,16356.0,16802.6,17249.2,17695.8,18142.4,18589.0,19431.4,20273.8,21116.2,21958.6,22801.0,23685.0,24569.0,25453.0,26337.0,27221.0,28202.6,29184.2,30165.8,31147.4,32129.0,Australia,138850.0
43,Israel,2610.0,2703.4,2796.8,2890.2,2983.6,3077.0,3090.8,3104.6,3118.4,3132.2,3146.0,3162.6,3179.2,3195.8,3212.4,3229.0,3320.2,3411.4,3502.6,3593.8,3685.0,3819.2,3953.4,4087.6,4221.8,4356.0,4505.6,4655.2,4804.8,4954.4,5104.0,Australia,25207.0
