"COUNTRY","Country","DLVLEDUC","Level of education","DPROGTYP","Programme orientation","DSRCTYP","Funding source","DTRNSTYP","Type of transactions","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","220","Expenditures of private entities other than households","9000","All types of transactions","2010","2010","AUD","Australian Dollar","6","Millions",,,4866.55,,
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","1997","1997","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2005","2005","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2006","2006","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2007","2007","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2008","2008","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2009","2009","AUD","Australian Dollar","6","Millions",,,0,"m","Missing value"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","221","Expenditures of firms for specified educational activities","9000","All types of transactions","2010","2010","AUD","Australian Dollar","6","Millions",,,0,"m","Missing value"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","300","Funds from international agencies and other foreign sources","9000","All types of transactions","1997","1997","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","300","Funds from international agencies and other foreign sources","9000","All types of transactions","2005","2005","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","300","Funds from international agencies and other foreign sources","9000","All types of transactions","2006","2006","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","300","Funds from international agencies and other foreign sources","9000","All types of transactions","2007","2007","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","300","Funds from international agencies and other foreign sources","9000","All types of transactions","2008","2008","AUD","Australian Dollar","6","Millions",,,0,"n","Negligable"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","300","Funds from international agencies and other foreign sources","9000","All types of transactions","2009","2009","AUD","Australian Dollar","6","Millions",,,0,"m","Missing value"
"AUS","Australia","900000","All levels of education + not allocated by level","900000","All educational programmes","300","Funds from international agencies and other foreign sources","9000","All types of transactions","2010","2010","AUD","Australian Dollar","6","Millions",,,0,"m","Missing value"
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","1997","1997","EUR","Euro","6","Millions",,,11419.206,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","1998","1998","EUR","Euro","6","Millions",,,11930.743,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","1999","1999","EUR","Euro","6","Millions",,,12404.199,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2000","2000","EUR","Euro","6","Millions",,,11937.211,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2001","2001","EUR","Euro","6","Millions",,,12295.325,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2002","2002","EUR","Euro","6","Millions",,,12520.622,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2003","2003","EUR","Euro","6","Millions",,,12432.07,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2004","2004","EUR","Euro","6","Millions",,,12850.33,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2005","2005","EUR","Euro","6","Millions",,,13337.33,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2006","2006","EUR","Euro","6","Millions",,,13997.9,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2007","2007","EUR","Euro","6","Millions",,,14616.06,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2008","2008","EUR","Euro","6","Millions",,,15463.5,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2009","2009","EUR","Euro","6","Millions",,,16505.64,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","100","Government expenditures (all levels)","9000","All types of transactions","2010","2010","EUR","Euro","6","Millions",,,16867.51,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","1997","1997","EUR","Euro","6","Millions",,,8218.026,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","1998","1998","EUR","Euro","6","Millions",,,8468.071,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","1999","1999","EUR","Euro","6","Millions",,,8888.273,,
"AUT","Austria","900000","All levels of education + not allocated by level","900000","All educational programmes","110","Central government expenditures","9000","All types of transactions","2000","2000","EUR","Euro","6","Millions",,,8550.737,,
