,country,co2,expRD,expEd,expHealth,gdp,year
147,Singapore,31433.523999999998,1.3199100000000001,1.21474111,3.34336376,11896256782.85662,0
148,Slovak Republic,44183.683,0.89292,4.68998718,5.30256939,12747380650.07618,0
149,Slovenia,12478.801000000001,1.26633,5.57140017,7.80406952,18198199152.542374,0
151,South Africa,228454.1,0.58354,2.73613644,7.43741989,82980483390.5057,0
152,Spain,215003.544,0.7894899999999999,4.91906023,6.79921818,232766822928.7537,0
153,Sri Lanka,3410.31,0.18356,2.27740288,4.24654055,4024621899.576527,0
155,St. Lucia,113.677,0.64171,1.8697567,5.43346453,170370370.37037036,0
156,St. Vincent and the Grenadines,36.67,0.04306,3.0020051,4.29551268,82340339.62962963,0
157,Sudan,3747.6740000000004,0.5300699999999999,1.21998167,3.60664463,7459833333.333334,0
159,Eswatini,465.709,0.27013000000000004,2.41081047,4.60951757,542000513.6106831,0
160,Sweden,71759.523,3.31489,6.18943739,7.32689953,142092068280.6885,0
161,Switzerland,40538.685,2.44857,2.67802835,9.3748436,119008334427.40347,0
162,Tajikistan,7315.665,0.08953,0.88544554,4.26492453,2629395066.2701716,0
163,Tanzania,1884.838,0.33462,0.74586427,3.41529965,5100405772.463267,0
164,Thailand,40135.315,0.11918,1.71152949,3.10125184,32353440726.885582,0
166,Togo,718.732,0.23476999999999998,0.39248648,3.30968809,1136408814.196922,0
168,Trinidad and Tobago,16937.873,0.10325,1.56699646,4.23492432,6235833333.333334,0
169,Tunisia,9493.863000000001,0.54302,2.65892363,5.04834366,8744134354.161522,0
170,Turkey,75763.887,0.45158999999999994,2.83683062,4.59957218,68789289565.74344,0
173,Uganda,627.057,0.36756,1.87020469,7.56050587,1244610000.0,0
174,Ukraine,630929.3520000001,1.1923,2.51132536,5.30685234,64087694038.23332,0
175,United Arab Emirates,36904.687999999995,0.48622,1.63412821,2.37413526,43598748449.04785,0
176,United Kingdom,579290.6579999999,1.58684,5.59644794,7.28434992,564947710899.3726,0
177,United States,4723209.677,2.45001,5.54235458,12.54207516,2857307000000.0,0
178,Uruguay,5837.8640000000005,0.26500999999999997,4.15722036,10.00623417,10163020115.734362,0
179,Uzbekistan,111649.149,0.36063,2.05310607,5.21655655,13360607917.877316,0
181,"Venezuela, RB",90802.254,0.18907000000000002,3.36394501,7.33427238,59116511627.906975,0
182,Vietnam,16820.529,0.19272999999999998,1.69229567,4.84926939,14094687820.744488,0
184,Zambia,3531.321,0.011040000000000001,3.18158054,7.15237093,3829500000.0,0
186,Albania,7341.334,0.08757000000000001,2.76625538,7.2333703,1857338011.8548825,1
187,Algeria,46438.888,0.23028,2.51082778,3.48903275,44348672667.87154,1
189,Angola,5280.48,0.03229,1.11098742,1.90859938,5550483035.90815,1
191,Argentina,102041.609,0.41748999999999997,4.63411379,8.46696377,78676842366.42133,1
192,Armenia,5826.863,0.18692,0.95468217,4.19581175,2256838858.427141,1
193,Australia,230360.94,1.6665,5.46949816,7.61383343,176642284918.147,1
194,Austria,56130.769,1.58077,6.82578659,9.20371437,71034228443.06204,1
195,Azerbaijan,56240.779,0.23533,0.86689276,2.94894385,8858006035.915659,1
197,Bahrain,8525.775,0.10116,2.35164309,3.56132603,3467819148.93617,1
200,Belarus,87417.61300000001,0.9985200000000001,4.30438089,5.46676111,21650000000.0,1
201,Belgium,124021.60699999999,1.72963,5.96185923,7.9991765,104730018470.23033,1
205,Bolivia,4792.769,0.32544,2.43201637,4.39554119,5872756933.115824,1
206,Bosnia and Herzegovina,15053.035,0.01854,4.08672619,7.65342188,1255802469.1358025,1
207,Botswana,1008.425,0.53286,3.19477272,5.82725811,1073861599.1394763,1
208,Brazil,171806.28399999999,1.04751,3.47024679,8.33481598,263561088977.12936,1
209,Brunei Darussalam,1470.467,0.01592,2.14061809,2.5432477,4366213849.576372,1
210,Bulgaria,80343.97,0.42201000000000005,3.4715004,5.82971001,19870000000.0,1
211,Burkina Faso,557.384,0.15834,1.08095813,3.31752229,1775842679.940559,1
212,Burundi,157.681,0.20068,1.46507251,6.17697144,969046666.6666666,1
213,Cabo Verde,33.003,0.07264,3.16139579,4.43401194,139468114.59974083,1
214,Cambodia,300.694,0.0498,1.2926053999999998,6.54116726,2533727592.0416512,1
216,Canada,430003.42100000003,1.61209,6.02896738,8.27567863,306214863624.9896,1
218,Chad,209.019,0.3005,2.07503939,5.45750713,876937559.7250379,1
