,country,co2,expRD,expEd,expHealth,gdp,year
111,Japan,929606.502,2.69206,5.75151682,5.06440019607544,1218988935129.8066,1981
112,Kenya,6527.26,0.35521,1.32658839,5.92372989654541,6854491453.902078,1981
113,Kyrgyz Republic,11133.012,0.1939,2.13439822,5.58819007873535,..,1981
114,Latvia,14143.619,0.39723,2.76619649,5.27811002731323,..,1981
115,Lesotho,1474.134,0.04185,2.94303799,10.0969400405884,434188034.18803424,1981
116,Lithuania,22148.68,0.49155,4.16442347,4.76492023468018,..,1981
117,"Macao SAR, China",535.382,0.06268,,3.37756991386414,..,1981
118,Madagascar,1026.76,0.22032,2.1105423,2.87990999221802,4759333969.851406,1981
119,Malaysia,30824.802,0.21645,1.17325473,6.69696998596191,25004557093.876133,1981
120,Mali,396.036,0.21855,1.28954971,3.44794011116028,1538972158.1782017,1981
121,Malta,1144.104,0.2385,4.73784733,2.86532998085022,1243469360.5683837,1981
122,Mauritius,542.716,0.27899,1.55006421,5.05397987365723,1142393554.523583,1981
123,Mexico,284529.864,0.25067,2.01177883,2.28201007843018,263959336734.69388,1981
124,Nepal,454.708,0.05439,0.55427396,2.89287996292114,2275583316.6666665,1981
125,Netherlands,164956.328,1.84093,5.320714,5.74937009811401,164134217080.27905,1981
126,New Zealand,16527.169,1.05649,5.56446981,4.44054985046387,24417617184.247772,1981
127,Niger,685.729,,1.53187096,2.06030011177063,2170893038.9005322,1981
128,Norway,40329.666,1.59352,6.29948092,5.54364013671875,63596654760.867676,1981
129,Oman,6017.547,0.13645,2.50450325,3.79282999038696,7259120150.550087,1981
130,Pakistan,34400.127,0.15565,1.01343811,1.97245001792908,28100606060.60606,1981
131,Panama,3340.637,0.3101,4.6724925,3.43179988861084,5222421500,1981
132,Peru,24103.191,0.0836,2.31222916,3.11879992485046,21649137620.30547,1981
133,Poland,410062.275,0.64036,3.61403513,3.89144992828369,..,1981
134,Portugal,27227.475,0.5495,5.90206194,3.18575000762939,31977276872.96417,1981
135,Saudi Arabia,175491.619,0.06233,3.03455424,3.89024996757507,184291888767.19144,1981
136,Senegal,3296.633,0.2909,1.26322365,2.52794003486633,4021697233.394031,1981
137,Slovak Republic,44183.683,0.89292,4.68998718,5.35694980621338,..,1981
138,Slovenia,12478.801,1.26633,5.57140017,4.43858003616333,..,1981
